d,tube_stops_d,car_prob_d
"116.35,39.78",0,4
"116.42,40.06",0,88
"116.11,40.08",0,0
"115.93,39.67",0,0
"116.43,40.15",0,13
"116.61,39.85",0,5
"116.36,40.25",0,2
"116.73,39.84",0,12
"116.65,39.95",0,11
"116.04,39.71",0,0
"116.27,39.76",0,8
"116.46,40.41",0,10
"116.13,40.25",0,9
"116.53,40.25",0,1
"116.36,40.12",0,0
"116.44,40.25",0,2
"116.07,40.16",0,0
"116.39,40.05",0,10
"116.85,40.38",0,67
"116.47,40.24",0,1
"116.00,39.88",0,0
"116.32,39.81",0,4
"116.68,39.86",0,13
"116.09,39.98",0,2
"115.61,39.86",0,0
"116.73,39.91",0,6
"115.98,40.37",0,1
"116.51,39.98",0,6
"116.47,40.04",0,13
"116.96,40.11",0,0
"116.20,39.68",0,0
"116.13,40.14",0,10
"116.10,39.90",0,11
"116.49,40.16",0,0
"116.18,40.18",0,0
"116.32,39.80",0,14
"116.03,40.17",0,0
"115.90,40.37",0,7
"116.06,39.67",0,5
"116.08,39.95",0,4
"116.49,40.12",0,2
"116.78,39.83",0,2
"116.40,39.75",0,11
"116.57,39.80",0,63
"116.13,39.75",0,43
"116.61,39.87",0,3
"116.58,39.75",0,0
"116.39,39.54",0,0
"116.59,40.31",0,2
"116.65,40.36",0,11
"116.23,40.27",0,4
"116.66,40.04",0,26
"116.75,39.80",0,2
"115.97,40.36",0,11
"116.65,39.93",0,11
"116.82,39.81",0,0
"116.26,40.21",0,4
"116.42,39.80",0,36
"116.14,40.10",0,0
"116.30,39.79",0,6
"116.53,39.98",0,0
"116.42,40.01",0,12
"115.75,39.66",0,4
"116.13,40.08",0,2
"116.19,39.81",0,1
"116.67,40.28",0,13
"116.65,40.35",0,14
"116.61,39.65",0,2
"116.26,40.11",0,0
"116.21,40.04",0,2
"116.20,40.11",0,5
"116.17,39.96",0,3
"116.22,40.07",0,2
"116.50,40.01",0,22
"116.20,39.75",0,16
"116.01,40.13",0,4
"116.68,40.17",0,7
"116.27,39.75",0,3
"116.57,39.81",0,32
"116.79,39.85",0,0
"116.73,39.88",0,2
"116.22,40.13",0,0
"116.32,39.61",0,1
"115.73,40.00",0,2
"116.55,40.05",0,0
"116.53,40.02",0,0
"116.31,40.15",0,10
"116.86,40.47",0,2
"116.35,39.69",0,0
"116.66,39.80",0,0
"116.83,39.79",0,0
"115.99,39.97",0,2
"116.47,40.14",0,2
"116.62,39.89",0,6
"117.00,40.18",0,0
"116.41,40.12",0,68
"116.88,39.71",0,3
"115.99,40.44",0,2
"116.12,39.84",0,2
"116.62,39.98",0,3
"116.61,39.63",0,0
"116.53,40.06",0,2
"116.68,39.76",0,2
"116.65,39.68",0,9
"116.57,40.01",0,0
"116.18,40.23",0,39
"116.67,40.29",0,7
"116.34,39.63",0,1
"116.61,40.14",0,16
"116.61,39.91",1,25
"116.58,39.96",0,8
"116.68,40.36",0,2
"116.96,40.57",0,0
"116.21,39.86",0,5
"116.65,40.33",0,1
"116.37,39.79",0,0
"116.87,40.38",0,0
"116.17,39.84",0,5
"116.91,39.81",0,0
"116.16,39.73",0,52
"116.18,39.84",0,2
"116.82,40.15",0,0
"116.43,39.73",0,9
"116.66,39.75",0,4
"116.52,40.08",0,39
"116.51,39.75",0,8
"116.53,39.82",0,12
"116.52,40.10",0,0
"116.66,40.40",0,70
"116.17,39.78",0,1
"115.94,39.66",0,1
"116.26,39.82",0,7
"116.38,39.80",0,6
"116.09,40.13",0,0
"116.52,40.22",0,2
"116.69,40.68",0,0
"116.62,40.33",0,65
"115.75,39.53",0,2
"116.11,39.92",0,17
"116.54,40.00",0,0
"116.59,39.77",0,0
"116.50,39.88",0,8
"116.70,39.87",0,55
"116.48,40.09",0,17
"116.72,39.91",0,7
"116.70,39.85",0,12
"115.81,40.50",0,4
"116.38,40.04",0,0
"116.55,40.16",0,0
"116.48,40.19",0,5
"116.64,40.14",0,43
"116.40,40.09",0,3
"116.32,39.64",0,2
"116.15,40.08",0,17
"116.21,40.11",0,0
"116.45,39.77",0,2
"116.51,40.25",0,0
"116.19,39.98",0,4
"116.66,40.10",0,21
"116.95,40.37",0,1
"116.58,39.74",0,6
"115.89,39.61",0,0
"115.97,40.47",0,24
"116.58,40.11",0,2
"116.37,39.70",0,0
"117.02,40.38",0,0
"116.56,40.59",0,0
"116.80,40.16",0,1
"115.92,39.72",0,0
"116.43,40.13",0,0
"116.57,39.98",0,1
"116.55,39.77",0,19
"116.77,39.94",0,12
"116.12,39.89",1,3
"116.13,40.18",0,0
"116.10,39.91",0,47
"116.46,40.18",0,10
"116.64,40.21",0,1
"116.53,39.97",0,9
"117.20,40.13",0,3
"116.38,40.07",0,12
"116.33,39.77",0,38
"116.20,40.19",0,4
"116.15,39.92",0,1
"116.46,40.05",0,0
"116.28,39.98",0,12
"116.25,39.84",0,4
"116.58,39.77",0,15
"116.17,39.87",0,0
"115.90,39.58",0,1
"116.71,39.97",0,1
"115.96,40.03",0,0
"116.74,39.85",0,2
"116.11,40.19",0,0
"116.30,39.68",0,0
"116.52,39.95",0,13
"116.74,39.89",0,6
"116.21,39.78",0,17
"116.46,39.66",0,0
"116.29,40.08",0,30
"116.56,40.04",0,2
"115.95,39.80",0,3
"116.84,40.47",0,0
"116.63,40.09",0,8
"115.94,39.75",0,0
"116.77,39.64",0,0
"116.64,40.06",0,5
"116.58,39.99",0,3
"116.49,39.72",0,0
"116.07,39.74",0,0
"115.97,40.45",0,6
"116.25,39.81",0,2
"116.48,40.02",0,2
"116.71,39.90",1,12
"115.89,40.50",0,3
"116.40,40.17",0,1
"116.44,40.08",0,11
"116.24,39.65",0,0
"116.12,39.87",0,2
"116.41,39.83",0,12
"116.18,39.89",0,3
"116.61,40.04",0,24
"116.17,39.86",0,2
"116.67,39.92",0,21
"116.44,40.07",0,47
"116.09,40.28",0,2
"116.66,40.16",0,2
"116.31,39.61",0,0
"116.70,40.16",0,0
"115.95,40.39",0,0
"115.52,39.67",0,6
"116.67,40.21",0,3
"116.28,39.80",0,9
"116.08,39.86",0,2
"116.19,39.97",0,2
"116.65,40.38",0,11
"117.02,40.09",0,0
"116.58,39.94",0,5
"116.11,40.20",0,0
"116.14,40.23",0,0
"116.66,40.22",0,14
"116.24,39.83",0,14
"117.01,40.06",0,0
"116.14,40.06",0,2
"116.65,40.29",0,0
"116.78,40.56",0,0
"117.11,40.32",0,0
"116.81,40.37",0,8
"116.04,39.74",0,0
"116.69,39.95",0,10
"116.33,40.13",0,2
"116.67,39.95",0,0
"116.42,39.69",0,0
"115.96,40.36",0,5
"116.58,39.95",0,0
"116.28,40.13",0,0
"116.71,40.16",0,1
"116.39,40.06",0,2
"116.64,39.87",0,48
"116.66,40.08",0,2
"116.29,39.69",0,1
"116.53,40.47",0,2
"116.46,40.08",0,1
"116.09,39.77",0,6
"116.54,40.04",0,13
"116.66,40.41",0,8
"116.49,40.11",0,2
"116.68,40.12",0,9
"115.94,39.74",0,0
"116.60,40.05",0,12
"116.62,39.88",0,0
"116.20,39.95",0,2
"117.02,40.14",0,5
"115.82,39.76",0,0
"116.21,40.14",0,0
"116.47,40.13",0,0
"116.68,40.37",0,9
"117.02,40.47",0,0
"115.94,39.80",0,0
"116.46,40.04",0,9
"116.61,39.83",0,3
"116.24,40.25",0,0
"116.63,39.92",0,28
"116.75,40.36",0,0
"116.16,39.89",0,8
"115.99,40.47",0,18
"116.58,39.98",0,7
"116.25,40.19",0,4
"116.77,39.82",0,4
"116.12,40.12",0,0
"115.97,40.43",0,2
"116.43,39.76",0,9
"116.45,40.11",0,2
"116.14,39.68",0,2
"116.16,39.88",0,11
"116.41,40.17",0,0
"116.41,40.22",0,4
"116.58,39.82",0,6
"116.35,40.40",0,0
"116.33,39.63",0,0
"116.63,39.81",0,1
"116.12,39.77",0,0
"116.96,40.29",0,0
"116.39,39.68",0,0
"116.84,40.16",0,0
"116.38,39.71",0,4
"116.80,39.74",0,0
"115.89,40.51",0,4
"116.23,40.11",0,4
"116.83,40.55",0,2
"116.61,40.15",0,5
"116.35,39.73",0,0
"116.48,40.05",0,5
"116.64,40.11",0,46
"115.73,39.59",0,0
"116.19,40.31",0,2
"116.11,40.21",0,0
"116.56,39.93",0,2
"116.22,40.37",0,0
"116.21,40.33",0,0
"116.13,40.11",0,0
"116.73,40.33",0,1
"116.22,39.84",0,19
"116.90,40.20",0,0
"116.12,39.95",0,6
"116.47,40.05",0,4
"116.05,40.34",0,40
"116.49,40.18",0,2
"115.84,39.58",0,0
"116.20,40.10",0,2
"116.61,40.03",0,13
"115.79,40.14",0,0
"115.96,39.74",0,2
"116.99,40.16",0,1
"116.27,40.22",0,1
"116.82,40.16",0,0
"116.63,39.96",0,0
"116.09,39.93",0,12
"115.91,39.75",0,0
"116.70,40.32",0,4
"116.22,40.04",0,20
"116.25,40.07",0,15
"116.17,40.07",0,1
"116.24,39.58",0,0
"116.41,39.67",0,4
"115.82,39.55",0,1
"116.65,39.86",0,11
"116.11,39.90",0,9
"116.44,39.77",1,8
"116.70,40.09",0,0
"116.36,40.02",0,42
"116.19,39.61",0,2
"116.14,40.13",0,0
"116.45,39.72",0,2
"116.68,40.03",0,0
"116.77,40.35",0,0
"116.11,39.89",1,9
"116.33,40.18",0,0
"116.47,40.08",0,4
"116.83,40.36",0,24
"116.65,40.28",0,2
"116.50,40.25",0,0
"116.42,39.81",0,11
"116.13,39.96",0,0
"116.16,40.16",0,5
"116.33,40.22",0,0
"116.34,40.23",0,0
"116.63,40.02",0,2
"116.66,40.02",0,0
"116.58,39.70",0,0
"116.54,40.16",0,0
"115.89,40.36",0,10
"116.63,40.11",0,40
"116.26,40.23",0,25
"116.60,40.06",0,1
"116.45,39.70",0,1
"116.55,39.69",0,0
"116.82,40.06",0,0
"116.31,39.73",0,2
"115.79,39.60",0,2
"116.03,39.97",0,0
"115.97,39.69",0,8
"115.96,40.40",0,0
"116.50,40.21",0,11
"116.61,39.96",0,2
"116.20,40.13",0,0
"115.97,39.75",0,0
"116.72,40.19",0,1
"116.12,39.61",0,0
"116.69,39.88",0,6
"116.06,39.86",0,0
"116.16,39.69",0,0
"116.24,40.27",0,0
"116.14,39.95",0,0
"117.15,40.12",0,3
"115.91,40.12",0,0
"116.35,40.69",0,14
"116.33,39.71",0,15
"116.42,39.65",0,0
"116.37,39.80",0,21
"116.13,40.23",0,14
"115.96,40.46",0,12
"116.44,40.10",0,10
"116.46,40.17",0,5
"116.55,40.14",0,5
"116.25,39.69",0,1
"116.98,40.16",0,3
"116.35,39.70",0,1
"115.81,39.67",0,10
"116.29,40.22",0,5
"116.03,40.33",0,21
"116.17,39.97",0,2
"116.47,40.22",0,0
"116.70,40.14",0,3
"116.63,40.21",0,2
"115.88,39.66",0,2
"116.25,40.00",0,18
"116.36,39.51",0,1
"116.47,39.81",0,16
"116.11,39.66",0,0
"116.71,39.69",0,0
"116.57,40.04",0,6
"116.17,40.14",0,0
"116.92,40.20",0,0
"116.69,39.77",0,2
"115.57,39.82",0,0
"117.07,40.14",0,2
"116.73,40.30",0,0
"116.62,40.04",0,28
"116.20,40.12",0,0
"116.36,40.24",0,2
"116.85,40.36",0,8
"116.52,39.75",0,0
"116.86,40.38",0,41
"116.93,40.41",0,1
"116.23,40.29",0,9
"116.37,39.75",0,1
"116.34,40.56",0,4
"116.59,39.68",0,9
"116.15,40.04",0,8
"116.57,40.44",0,4
"116.70,39.86",0,4
"116.39,40.21",0,1
"116.19,39.83",0,4
"116.42,39.73",0,2
"116.19,39.60",0,0
"116.65,39.99",0,0
"116.51,40.47",0,0
"116.66,40.37",0,0
"117.04,40.14",0,0
"116.06,39.73",0,10
"116.16,39.86",0,4
"116.58,39.97",0,2
"116.61,40.44",0,0
"116.22,39.73",0,0
"116.70,40.58",0,0
"115.53,39.72",0,0
"116.32,40.13",0,0
"116.38,39.52",0,0
"116.08,39.65",0,1
"116.51,39.85",0,7
"116.19,40.42",0,0
"116.82,40.48",0,4
"116.25,39.54",0,0
"116.15,40.16",0,2
"116.70,40.19",0,0
"116.71,39.76",0,0
"116.61,40.19",0,2
"116.10,40.51",0,9
"116.64,39.83",0,0
"116.27,40.25",0,18
"116.18,39.77",0,6
"116.82,40.11",0,0
"116.12,39.91",1,0
"116.65,39.82",0,8
"116.59,39.83",0,5
"116.02,39.97",0,4
"115.78,39.54",0,0
"116.02,39.72",0,12
"116.93,40.38",0,0
"116.18,40.08",0,0
"116.07,40.48",0,1
"116.16,39.68",0,0
"116.49,40.21",0,8
"116.13,39.71",0,2
"116.58,39.78",0,0
"115.92,39.69",0,0
"115.99,39.75",0,0
"116.63,39.85",0,4
"116.38,40.17",0,1
"115.96,40.52",0,4
"116.08,39.69",0,0
"116.28,39.51",0,0
"116.13,39.89",0,3
"115.88,39.56",0,0
"116.70,40.06",0,0
"116.75,39.82",0,0
"116.10,40.48",0,0
"116.22,39.97",0,8
"116.31,40.22",0,0
"115.65,39.85",0,4
"116.62,40.44",0,4
"116.32,39.49",0,6
"116.79,39.65",0,0
"116.35,39.82",0,24
"116.40,39.58",0,0
"116.63,40.43",0,4
"116.76,40.36",0,0
"116.17,40.18",0,7
"116.43,40.25",0,0
"116.15,40.05",0,0
"116.72,40.06",0,0
"116.59,39.97",0,0
"116.61,40.06",0,0
"116.23,40.28",0,0
"117.09,40.31",0,2
"116.00,40.45",0,2
"117.13,40.15",0,3
"116.22,39.62",0,0
"117.18,40.69",0,2
"116.58,39.85",0,0
"115.91,39.67",0,1
"115.63,39.84",0,2
"116.76,40.10",0,4
"116.11,39.70",0,5
"116.77,39.85",0,0
"116.35,39.66",0,0
"116.10,40.07",0,12
"116.56,39.88",0,0
"116.38,39.79",0,0
"116.67,39.86",0,9
"116.62,40.30",0,2
"116.10,39.76",0,1
"116.65,39.96",0,3
"116.73,40.21",0,1
"116.08,39.73",0,0
"115.96,39.75",0,3
"116.43,39.69",0,0
"116.65,40.15",0,0
"116.64,39.93",0,21
"116.29,40.23",0,0
"116.62,40.09",0,2
"115.87,39.61",0,6
"116.40,39.68",0,0
"116.89,40.40",0,10
"116.08,40.28",0,0
"115.89,40.03",0,0
"116.72,39.68",0,1
"116.61,40.34",0,2
"116.70,40.36",0,0
"116.31,39.81",0,6
"116.48,40.40",0,0
"116.65,39.69",0,1
"116.22,39.72",0,0
"116.70,40.10",0,8
"116.66,39.74",0,0
"116.64,39.71",0,0
"116.07,39.64",0,4
"115.72,39.84",0,4
"116.48,40.20",0,0
"115.94,40.38",0,4
"116.66,40.21",0,13
"116.23,39.77",0,5
"116.47,40.17",0,1
"116.39,39.71",0,4
"116.49,40.06",0,12
"116.24,39.70",0,0
"116.40,40.10",0,15
"116.12,39.85",0,0
"117.00,40.04",0,0
"116.15,40.10",0,12
"116.33,39.49",0,1
"116.14,40.58",0,0
"116.70,39.73",0,2
"116.42,39.83",0,14
"116.10,40.01",0,0
"116.63,40.17",0,7
"116.61,40.26",0,2
"116.63,39.84",0,0
"116.30,40.16",0,0
"116.44,39.68",0,2
"116.69,39.72",0,0
"116.41,39.72",0,4
"116.47,40.19",0,0
"116.21,39.94",0,23
"116.03,39.77",0,0
"116.03,39.76",0,1
"116.69,39.94",0,54
"116.65,40.40",0,23
"116.19,40.04",0,1
"116.71,40.18",0,0
"116.31,40.12",0,0
"116.56,39.95",0,4
"116.58,39.90",0,4
"116.55,40.20",0,2
"116.25,39.83",0,0
"116.93,40.15",0,3
"116.13,39.68",0,0
"115.93,39.64",0,0
"116.06,40.22",0,4
"116.08,39.85",0,0
"116.19,40.01",0,0
"116.78,39.80",0,3
"116.65,39.84",0,3
"116.68,40.00",0,1
"116.25,40.10",0,9
"116.65,40.20",0,4
"115.73,39.57",0,0
"116.36,39.75",0,3
"116.36,40.17",0,0
"116.26,39.76",0,0
"116.20,39.85",0,4
"116.38,39.81",0,0
"116.30,39.70",0,0
"116.34,40.42",0,0
"116.86,39.81",0,0
"116.27,40.24",0,8
"116.26,40.19",0,0
"116.71,39.92",0,13
"116.48,40.03",0,6
"116.59,40.14",0,10
"116.67,40.17",0,8
"116.30,39.51",0,2
"116.67,40.10",0,11
"115.97,39.76",0,2
"117.15,40.19",0,2
"116.69,40.09",0,1
"116.72,39.67",0,0
"116.47,39.71",0,2
"116.92,40.14",0,2
"116.05,39.88",0,0
"116.09,39.91",0,0
"116.45,40.70",0,10
"116.21,39.81",0,44
"116.91,40.46",0,2
"116.49,40.13",0,16
"116.61,40.17",0,0
"116.79,40.49",0,2
"116.90,40.15",0,0
"116.68,39.64",0,0
"116.45,39.73",0,2
"116.70,39.69",0,0
"116.53,40.14",0,0
"115.64,40.00",0,8
"116.67,39.97",0,1
"116.57,40.07",0,8
"116.32,40.31",0,2
"116.76,40.12",0,0
"116.30,40.21",0,0
"116.65,40.25",0,0
"116.27,39.80",0,0
"116.07,39.65",0,6
"116.29,39.74",0,0
"116.93,40.40",0,15
"116.11,39.80",0,0
"116.08,39.93",0,4
"116.39,40.13",0,0
"116.64,40.19",0,5
"116.10,40.22",0,0
"116.67,39.71",0,0
"116.20,40.04",0,9
"115.99,40.45",0,0
"116.12,39.97",0,0
"116.82,40.19",0,0
"116.17,39.88",0,7
"116.10,39.71",0,4
"116.38,39.74",0,2
"116.63,39.69",0,0
"116.44,39.79",0,3
"116.40,39.66",0,0
"116.24,39.67",0,0
"116.65,39.79",0,1
"115.71,39.58",0,2
"116.90,40.46",0,10
"115.77,39.61",0,13
"115.67,39.96",0,0
"116.58,40.09",0,3
"116.74,40.04",0,0
"116.45,40.18",0,3
"116.76,39.93",0,12
"117.03,40.19",0,0
"116.76,39.92",0,0
"116.21,40.13",0,0
"116.27,39.67",0,0
"116.75,39.65",0,0
"115.89,40.38",0,4
"115.90,40.00",0,0
"116.71,40.04",0,3
"116.65,39.77",0,0
"116.45,40.12",0,5
"116.44,40.11",0,2
"116.31,40.19",0,0
"116.57,39.84",0,2
"116.76,40.07",0,4
"116.46,39.73",0,7
"116.38,40.18",0,0
"116.65,39.81",0,2
"116.65,40.09",0,4
"116.59,40.11",0,0
"116.24,40.01",0,2
"116.11,39.67",0,0
"116.66,39.64",0,0
"115.99,39.74",0,2
"116.56,39.99",0,2
"116.72,39.79",0,3
"116.82,40.25",0,0
"116.19,40.14",0,0
"116.64,39.66",0,0
"116.14,39.93",0,2
"116.03,40.18",0,0
"116.13,39.95",0,2
"116.33,39.51",0,0
"116.64,40.17",0,5
"116.26,39.81",0,7
"116.48,39.95",0,16
"116.09,40.24",0,0
"116.36,40.48",0,0
"116.63,39.97",0,0
"116.60,39.84",0,9
"117.00,40.05",0,4
"116.20,39.98",0,1
"116.09,40.18",0,0
"116.68,39.83",0,0
"115.96,40.37",0,0
"116.06,39.68",0,0
"116.30,39.71",0,5
"115.98,40.44",0,9
"116.12,40.16",0,0
"116.63,40.27",0,16
"117.09,40.51",0,0
"116.09,40.06",0,2
"116.03,39.60",0,7
"116.04,40.34",0,2
"116.42,39.61",0,0
"116.10,39.67",0,33
"116.39,40.25",0,0
"116.31,40.41",0,19
"116.63,40.18",0,1
"116.06,39.93",0,2
"116.16,40.13",0,0
"116.60,40.18",0,0
"116.08,39.66",0,4
"116.32,40.10",0,4
"116.64,39.82",0,0
"116.36,39.72",0,1
"116.70,40.00",0,0
"116.60,40.17",0,0
"116.23,39.67",0,0
"116.10,39.74",0,2
"116.31,39.78",0,8
"116.64,40.15",0,7
"116.73,40.06",0,2
"116.78,39.60",0,3
"115.98,40.41",0,0
"116.40,40.20",0,0
"116.81,40.15",0,4
"116.07,39.70",0,0
"116.63,40.25",0,1
"116.86,40.13",0,0
"116.78,40.15",0,0
"117.17,40.18",0,0
"116.38,39.66",0,1
"116.09,39.90",0,0
"116.56,40.21",0,0
"116.43,40.10",0,0
"115.84,39.72",0,0
"116.49,39.84",0,0
"116.23,39.88",0,16
"116.75,40.10",0,9
"116.48,39.83",0,14
"116.77,39.86",0,0
"116.82,40.34",0,6
"116.80,40.52",0,7
"116.25,39.96",0,4
"116.73,39.70",0,0
"116.88,39.82",0,0
"116.39,39.72",0,4
"116.07,39.86",0,0
"116.67,39.83",0,15
"115.87,39.58",0,2
"116.20,40.25",0,2
"116.79,39.81",0,0
"116.82,39.80",0,0
"116.46,39.80",0,19
"116.14,39.67",0,6
"116.28,39.71",0,0
"116.30,39.73",0,0
"116.01,39.68",0,1
"116.50,40.19",0,0
"116.12,40.08",0,0
"115.82,39.67",0,0
"116.50,39.68",0,5
"116.27,39.78",0,0
"116.40,39.72",0,12
"116.75,40.07",0,0
"116.69,40.45",0,19
"116.55,40.34",0,0
"116.34,39.57",0,0
"115.94,39.97",0,0
"116.61,39.76",0,2
"116.04,39.69",0,0
"115.95,39.72",0,7
"115.93,39.68",0,0
"116.09,40.23",0,0
"116.66,40.00",0,0
"116.72,39.92",0,4
"115.91,39.63",0,1
"116.12,39.71",0,2
"116.07,39.63",0,18
"116.25,40.30",0,6
"116.48,39.84",0,7
"116.81,39.82",0,0
"117.12,40.30",0,0
"115.44,39.78",0,0
"116.02,40.15",0,0
"116.66,40.03",0,23
"116.58,39.69",0,0
"116.45,40.14",0,0
"116.85,40.23",0,1
"116.60,40.19",0,0
"116.61,39.66",0,0
"116.21,40.08",0,0
"116.21,39.84",0,3
"116.55,39.72",0,2
"116.93,40.16",0,0
"116.54,40.37",0,0
"116.57,40.25",0,1
"116.50,39.73",0,0
"116.81,39.85",0,2
"116.73,40.13",0,4
"116.19,40.35",0,2
"116.78,39.88",0,1
"116.30,39.72",0,3
"116.04,40.48",0,0
"116.53,40.12",0,6
"116.19,40.33",0,0
"116.25,39.75",0,0
"116.67,40.03",0,14
"115.99,39.80",0,0
"115.88,40.37",0,0
"116.54,40.22",0,0
"117.00,40.07",0,11
"116.00,40.47",0,12
"117.28,40.66",0,0
"116.25,40.27",0,0
"116.83,39.71",0,1
"116.17,39.76",0,11
"116.83,39.83",0,0
"116.85,40.41",0,0
"116.12,39.94",0,6
"116.78,39.71",0,0
"116.75,40.12",0,2
"116.65,39.80",0,2
"116.60,40.03",0,6
"116.04,39.75",0,1
"117.25,40.64",0,16
"116.71,40.13",0,0
"116.76,39.99",0,0
"116.79,39.87",0,0
"116.45,39.68",0,2
"115.92,39.68",0,2
"116.32,40.41",0,0
"116.36,39.53",0,0
"116.39,39.77",0,0
"116.62,39.84",0,2
"116.58,39.73",0,0
"116.47,39.78",0,5
"116.03,39.67",0,0
"116.52,40.07",0,7
"116.60,39.64",0,0
"116.60,40.02",0,7
"115.75,39.55",0,3
"117.10,40.39",0,2
"116.24,40.10",0,2
"116.40,40.14",0,1
"116.00,39.72",0,6
"116.25,39.58",0,0
"115.82,40.46",0,3
"115.99,39.63",0,0
"116.43,40.12",0,0
"116.08,40.21",0,0
"116.43,39.75",0,3
"116.15,40.19",0,0
"116.08,40.09",0,11
"116.74,40.37",0,0
"116.89,39.70",0,2
"116.22,39.71",0,0
"116.61,39.97",0,0
"116.11,39.77",0,0
"116.69,39.76",0,0
"116.79,39.78",0,10
"116.13,40.13",0,3
"116.75,39.91",0,0
"116.81,40.17",0,0
"116.61,40.02",0,3
"116.26,39.79",0,0
"116.34,40.15",0,0
"116.37,40.24",0,0
"116.84,39.81",0,5
"116.68,39.84",0,12
"116.51,39.83",0,1
"115.68,39.74",0,0
"115.93,40.52",0,2
"116.67,39.81",0,0
"116.09,39.95",0,18
"116.32,39.48",0,0
"116.42,39.55",0,0
"115.98,39.62",0,1
"116.64,40.04",0,6
"116.66,39.68",0,2
"116.68,40.34",0,11
"116.34,39.68",0,2
"116.60,40.29",0,0
"116.04,39.60",0,7
"116.19,40.17",0,3
"116.66,40.52",0,4
"115.90,40.08",0,0
"116.13,39.93",0,0
"116.70,39.81",0,0
"117.20,40.59",0,0
"116.04,39.76",0,6
"117.19,40.11",0,0
"116.51,40.05",0,0
"116.49,40.10",0,2
"116.46,40.36",0,0
"116.12,40.25",0,0
"116.20,40.08",0,0
"116.08,40.23",0,2
"117.24,40.68",0,3
"116.14,40.08",0,2
"116.83,39.86",0,0
"116.52,39.59",0,0
"116.13,39.81",0,6
"116.62,39.97",0,7
"116.69,40.39",0,2
"117.28,40.20",0,0
"116.53,39.74",0,7
"116.36,39.78",0,7
"116.79,40.21",0,0
"116.61,40.10",0,0
"116.21,39.98",0,0
"116.45,40.51",0,0
"116.67,40.37",0,4
"116.22,40.10",0,0
"116.30,40.24",0,0
"116.14,39.82",0,4
"116.32,40.23",0,0
"116.67,39.82",0,0
"116.75,39.88",0,0
"116.58,40.30",0,0
"116.49,39.73",0,6
"115.62,39.64",0,17
"116.70,40.17",0,0
"116.67,40.34",0,4
"116.30,40.23",0,0
"116.45,39.78",0,1
"116.65,39.85",0,1
"116.82,39.83",0,0
"116.60,39.81",1,4
"115.74,39.66",0,4
"116.61,40.08",0,0
"115.96,39.89",0,0
"116.29,40.01",0,4
"116.25,39.74",0,0
"116.02,39.60",0,5
"116.84,39.80",0,12
"115.91,40.40",0,0
"116.54,40.13",0,0
"116.04,40.21",0,0
"116.38,40.16",0,5
"116.56,40.65",0,0
"116.24,39.84",0,2
"116.29,39.80",0,4
"116.42,39.57",0,0
"115.80,39.99",0,0
"116.06,39.76",0,0
"116.69,40.28",0,0
"116.78,40.35",0,0
"116.15,40.18",0,2
"116.03,39.81",0,1
"116.25,40.17",0,2
"116.19,39.86",0,2
"116.26,39.75",0,3
"116.47,39.62",0,5
"116.98,40.57",0,2
"116.41,39.73",0,13
"116.50,40.08",0,13
"116.51,40.21",0,5
"116.30,39.52",0,0
"116.66,40.30",0,0
"116.80,40.34",0,1
"116.67,40.40",0,9
"116.12,40.06",0,0
"116.68,39.82",0,0
"116.60,39.87",0,0
"116.30,40.13",0,0
"116.39,39.62",0,0
"116.49,40.08",0,0
"116.32,39.62",0,6
"116.61,39.78",0,0
"116.77,40.17",0,0
"115.85,39.72",0,0
"116.37,39.82",0,7
"116.97,40.40",0,3
"116.51,40.09",0,0
"115.81,40.47",0,2
"116.54,40.15",0,0
"115.71,39.95",0,4
"116.74,40.14",0,0
"115.90,39.61",0,1
"116.51,40.95",0,0
"116.62,39.92",0,6
"116.21,40.15",0,2
"116.61,39.98",0,0
"115.62,39.72",0,0
"116.44,40.24",0,4
"116.44,40.00",0,2
"116.43,40.22",0,0
"115.98,39.77",0,0
"116.64,40.08",0,2
"115.70,39.57",0,0
"116.33,39.70",0,11
"116.68,40.16",0,0
"116.74,39.95",0,1
"116.45,40.16",0,0
"115.72,39.57",0,0
"116.64,40.73",0,10
"116.11,39.72",0,22
"116.49,39.82",0,7
"116.05,39.91",0,2
"116.22,40.05",0,0
"116.74,40.17",0,0
"115.93,39.82",0,2
"116.11,40.23",0,2
"116.75,40.34",0,2
"116.03,39.62",0,0
"116.45,40.17",0,0
"116.35,40.13",0,0
"116.86,40.16",0,0
"116.78,39.77",0,0
"116.43,40.23",0,0
"116.51,39.68",0,0
"116.37,40.07",0,5
"116.74,39.96",0,0
"116.82,40.14",0,0
"116.27,39.68",0,0
"116.22,39.80",0,0
"116.59,40.36",0,5
"116.63,39.79",0,3
"116.24,40.29",0,2
"116.15,39.84",0,0
"116.46,40.22",0,0
"116.82,39.63",0,2
"116.27,39.77",0,2
"116.67,40.01",0,14
"116.78,40.49",0,2
"116.12,39.74",0,30
"116.45,40.36",0,0
"116.81,39.87",0,0
"116.76,39.91",0,0
"115.54,39.66",0,2
"116.10,39.70",0,14
"116.62,39.80",0,4
"115.94,39.67",0,0
"116.81,40.27",0,0
"115.83,40.47",0,2
"116.34,39.54",0,0
"116.14,39.77",0,2
"116.46,39.79",0,5
"115.78,39.75",0,0
"115.85,39.69",0,0
"116.20,39.80",0,5
"116.31,40.17",0,4
"115.87,39.62",0,4
"116.53,39.75",0,11
