o,tube_stops_o,car_prob_o
"116.37,39.67",0,167
"116.23,40.14",0,12
"116.30,39.52",0,126
"116.76,39.80",0,10
"116.40,40.22",0,60
"116.40,39.72",0,78
"116.16,39.85",0,44
"116.56,40.15",0,0
"116.36,40.17",0,12
"116.15,39.87",0,5
"116.79,40.35",0,36
"116.46,39.85",0,40
"116.18,40.08",0,14
"116.13,39.77",0,88
"116.00,40.46",0,377
"116.07,39.76",0,103
"116.22,40.05",0,57
"116.22,39.76",0,32
"116.64,40.34",0,2
"116.07,39.66",0,18
"116.86,40.40",0,191
"116.57,39.71",0,151
"116.36,39.74",0,400
"116.76,40.14",0,2
"115.95,40.36",0,400
"116.22,39.97",0,400
"116.77,39.64",0,0
"116.86,40.17",0,13
"116.45,40.18",0,40
"115.96,39.68",0,400
"116.48,40.08",0,2
"116.52,40.12",0,39
"116.27,39.79",0,400
"116.70,39.67",0,7
"116.42,40.11",0,126
"116.23,39.87",0,87
"116.64,39.79",0,14
"117.20,40.13",0,4
"116.27,40.13",0,4
"116.54,40.21",0,108
"116.24,40.02",0,204
"116.45,40.12",0,7
"116.87,39.72",0,48
"116.21,39.85",0,87
"116.19,40.25",0,7
"116.57,39.82",0,4
"116.73,39.86",0,55
"116.14,39.70",0,123
"116.03,39.59",0,400
"116.24,40.29",0,58
"116.02,40.29",0,11
"116.45,39.57",0,191
"116.11,40.18",0,254
"116.20,39.64",0,4
"116.39,39.54",0,0
"115.98,40.46",0,0
"116.46,40.12",0,4
"116.66,40.27",0,14
"116.62,40.38",0,4
"116.74,39.87",0,3
"116.39,39.83",1,22
"116.58,39.70",0,191
"116.68,40.27",0,74
"116.29,40.01",0,26
"116.30,40.19",0,0
"115.96,39.71",0,0
"116.47,39.69",0,50
"116.90,39.74",0,72
"116.28,39.65",0,131
"116.15,40.26",0,0
"116.91,40.08",0,58
"116.29,39.80",0,400
"116.45,39.73",0,25
"115.99,39.69",0,0
"116.60,40.14",0,30
"116.79,40.20",0,1
"116.77,39.92",0,4
"116.55,40.17",0,58
"116.17,40.22",0,40
"116.12,40.08",0,121
"116.31,39.66",0,16
"116.54,39.84",0,3
"116.92,40.08",0,70
"116.92,40.06",0,66
"116.88,40.10",0,400
"116.88,40.37",0,16
"116.08,40.23",0,4
"116.15,39.82",0,19
"116.90,39.82",0,90
"116.70,39.68",0,400
"116.02,39.88",0,134
"116.45,39.71",0,106
"116.58,39.74",0,0
"116.38,39.70",0,149
"116.20,40.16",0,155
"116.63,40.03",0,355
"116.11,40.06",0,64
"116.24,40.23",0,10
"116.23,39.77",0,20
"116.69,40.14",0,49
"116.60,39.83",0,92
"116.31,39.73",0,86
"116.51,40.03",0,0
"116.15,39.94",0,3
"116.41,40.15",0,82
"116.38,39.65",0,81
"116.68,39.84",0,400
"116.65,40.04",0,2
"116.32,40.22",0,97
"115.92,39.60",0,6
"116.68,40.38",0,306
"116.44,39.72",0,50
"116.77,39.81",0,191
"116.27,39.57",0,74
"117.22,40.17",0,119
"116.19,39.71",0,173
"115.49,39.98",0,103
"116.62,39.89",0,4
"116.56,39.95",0,4
"116.64,40.22",0,12
"116.02,39.79",0,24
"116.09,39.79",0,2
"117.17,40.12",0,81
"116.57,39.73",0,40
"116.69,39.90",0,30
"116.16,40.53",0,3
"116.36,40.12",0,189
"117.14,40.15",0,166
"116.41,40.13",0,92
"116.63,40.08",0,68
"116.16,39.68",0,36
"116.37,39.82",0,215
"116.61,39.87",0,195
"116.78,40.28",0,116
"116.15,39.89",0,98
"116.74,40.36",0,11
"116.73,40.04",0,120
"116.99,40.28",0,2
"116.36,39.72",0,400
"116.37,39.62",0,400
"116.28,39.98",0,27
"116.33,40.19",0,0
"116.71,40.15",0,3
"116.33,40.02",0,20
"116.56,40.26",0,9
"116.00,40.14",0,34
"116.76,39.89",0,58
"116.55,39.97",0,115
"116.58,39.81",0,103
"116.13,39.71",0,20
"116.10,39.76",0,24
"116.52,40.46",0,1
"117.22,40.61",0,400
"116.73,39.63",0,36
"116.62,40.73",0,4
"115.97,40.35",0,304
"116.83,40.16",0,26
"116.48,40.15",0,2
"117.28,40.18",0,400
"116.57,39.87",0,111
"116.27,39.66",0,74
"116.57,40.14",0,3
"116.57,40.21",0,400
"116.06,39.83",0,18
"116.11,39.89",1,400
"116.39,39.75",0,141
"116.69,40.10",0,147
"117.03,40.14",0,2
"116.14,39.76",0,115
"116.67,40.37",0,6
"116.38,39.81",0,129
"116.12,40.12",0,38
"116.12,39.86",0,26
"116.25,39.74",0,27
"116.61,39.86",0,3
"116.11,39.94",0,166
"116.43,40.12",0,57
"116.64,40.08",0,215
"116.78,40.22",0,3
"116.09,39.69",0,0
"116.15,40.24",0,43
"116.65,39.97",0,377
"116.42,39.69",0,51
"116.43,40.10",0,101
"116.73,39.95",0,6
"116.12,39.85",0,7
"116.50,40.09",0,84
"116.84,40.36",0,0
"116.69,40.21",0,163
"116.61,39.79",0,66
"117.09,40.15",0,7
"116.57,40.03",0,254
"116.76,39.93",0,10
"116.80,40.04",0,4
"115.99,39.72",0,112
"116.14,39.67",0,191
"116.33,39.49",0,7
"116.44,40.16",0,0
"116.32,39.70",0,56
"116.22,40.14",0,10
"116.62,40.15",0,5
"116.49,40.13",0,2
"116.54,39.78",0,400
"116.31,39.52",0,9
"116.63,39.98",0,400
"116.84,40.40",0,116
"116.54,39.85",0,130
"116.02,40.42",0,60
"116.60,40.12",0,7
"116.10,40.00",0,42
"116.59,39.65",0,0
"116.20,40.25",0,0
"116.08,39.66",0,33
"115.93,39.71",0,8
"117.02,40.14",0,51
"116.21,40.00",0,400
"116.86,40.39",0,400
"116.71,40.09",0,15
"116.48,40.03",0,34
"116.13,39.91",1,6
"116.03,39.67",0,72
"116.45,40.07",0,0
"116.11,39.95",0,56
"116.49,39.65",0,0
"116.14,40.12",0,55
"116.86,39.78",0,251
"116.62,40.11",0,66
"116.16,39.94",0,1
"116.38,39.74",0,9
"116.13,40.05",0,4
"116.67,39.98",0,18
"116.12,39.95",0,11
"116.14,40.23",0,39
"116.18,39.71",0,166
"116.61,40.02",0,120
"116.13,39.64",0,208
"117.06,40.14",0,400
"116.44,40.20",0,2
"115.93,39.74",0,0
"116.42,39.52",0,0
"116.25,39.76",0,0
"116.72,40.18",0,69
"116.42,39.73",0,5
"116.64,40.05",0,288
"117.16,40.69",0,2
"115.91,39.66",0,3
"116.35,39.61",0,400
"115.92,40.39",0,55
"116.05,39.60",0,20
"116.39,39.71",0,3
"115.84,39.56",0,3
"116.78,39.78",0,43
"116.72,39.82",0,76
"116.05,40.45",0,297
"116.67,40.28",0,6
"116.50,40.25",0,1
"116.44,39.67",0,86
"116.19,40.23",0,233
"116.27,40.21",0,138
"115.93,40.33",0,55
"116.64,40.36",0,9
"116.36,40.22",0,9
"116.56,40.43",0,5
"116.05,39.62",0,74
"116.00,39.71",0,400
"116.27,39.56",0,3
"116.30,39.78",0,41
"115.98,40.37",0,90
"116.50,39.70",0,1
"116.62,40.09",0,276
"116.02,39.90",0,400
"116.71,40.13",0,67
"117.06,40.11",0,0
"116.54,39.86",0,193
"116.19,39.87",0,206
"116.62,39.94",0,15
"116.56,39.83",0,16
"115.75,39.62",0,239
"116.18,40.19",0,214
"116.76,40.40",0,111
"116.08,39.98",0,0
"116.76,40.43",0,191
"116.30,39.68",0,74
"116.84,40.41",0,314
"116.28,40.23",0,400
"116.11,40.26",0,7
"116.26,40.19",0,35
"116.24,40.66",0,15
"116.35,39.79",0,16
"116.88,40.48",0,400
"115.95,39.74",0,72
"116.57,39.99",0,191
"116.14,39.91",0,8
"116.24,39.68",0,1
"116.26,40.09",0,111
"116.23,39.94",0,173
"116.21,40.21",0,400
"116.27,40.24",0,57
"116.53,40.07",0,94
"116.62,40.21",0,3
"116.81,39.64",0,206
"115.90,39.66",0,44
"116.49,39.83",0,157
"116.18,40.22",0,112
"116.55,39.84",0,232
"116.37,39.66",0,68
"116.13,39.81",0,202
"116.68,39.72",0,25
"116.55,39.61",0,63
"116.08,39.97",0,80
"116.20,39.61",0,1
"116.70,40.35",0,2
"116.85,40.20",0,1
"116.67,40.20",0,12
"116.79,40.31",0,7
"116.93,40.28",0,400
"116.07,39.63",0,400
"116.07,39.70",0,0
"116.71,39.89",0,3
"116.87,40.23",0,2
"116.57,39.64",0,146
"116.39,40.12",0,25
"116.59,39.94",0,126
"116.52,40.13",0,206
"116.35,39.59",0,166
"116.66,40.16",0,208
"116.44,40.24",0,1
"116.80,40.21",0,40
"116.44,39.69",0,89
"116.21,39.75",0,0
"116.15,40.05",0,4
"116.14,39.96",0,10
"116.36,39.66",0,157
"116.21,39.86",0,40
"116.68,40.35",0,245
"116.80,40.35",0,145
"116.55,39.93",0,167
"116.30,39.51",0,89
"116.40,40.20",0,1
"116.84,39.80",0,55
"116.44,40.04",0,115
"116.41,39.71",0,112
"116.27,39.77",0,0
"116.20,40.07",0,120
"116.18,40.06",0,15
"116.24,40.28",0,103
"116.49,40.05",0,138
"116.97,40.40",0,9
"115.99,39.80",0,8
"115.94,39.82",0,2
"116.69,39.96",0,166
"116.33,39.66",0,70
"116.52,39.75",0,68
"116.67,39.62",0,0
"116.31,40.12",0,191
"116.64,40.30",0,400
"116.17,39.80",0,77
"115.74,39.56",0,39
"117.14,40.16",0,43
"116.11,39.76",0,27
"116.11,39.69",0,1
"116.23,40.39",0,0
"116.30,40.23",0,6
"116.47,39.73",0,0
"117.00,40.04",0,400
"116.02,40.49",0,285
"116.65,39.63",0,9
"116.24,39.64",0,167
"116.59,39.85",0,5
"116.51,39.74",0,45
"116.56,39.88",0,37
"116.53,40.21",0,2
"116.84,40.39",0,288
"116.63,39.83",0,3
"115.88,40.03",0,191
"116.09,39.91",0,182
"116.58,39.63",0,191
"116.08,40.39",0,73
"116.39,39.55",0,3
"116.10,40.06",0,24
"116.69,39.84",0,126
"116.76,40.17",0,191
"116.18,39.83",0,74
"116.76,40.12",0,82
"116.15,39.71",0,66
"116.63,40.28",0,0
"116.24,39.67",0,30
"116.19,39.86",0,32
"116.03,39.78",0,0
"117.01,40.21",0,202
"116.19,39.70",0,242
"116.42,40.06",0,283
"116.45,39.56",0,10
"116.62,39.97",0,14
"116.98,40.36",0,0
"116.26,40.07",0,115
"116.64,40.00",0,13
"116.83,39.85",0,4
"116.07,40.47",0,5
"115.96,39.82",0,183
"116.82,40.16",0,376
"116.45,40.10",0,207
"116.63,39.84",0,66
"115.99,39.78",0,0
"116.18,40.00",0,143
"116.80,40.06",0,3
"116.26,40.06",0,0
"116.28,39.51",0,0
"116.05,40.30",0,2
"116.68,40.29",0,40
"116.16,39.64",0,38
"116.20,40.01",0,63
"116.76,39.76",0,80
"115.99,40.45",0,400
"116.13,39.95",0,176
"116.59,40.31",0,102
"116.27,40.19",0,138
"116.64,39.86",0,83
"116.88,39.79",0,161
"116.52,39.99",0,148
"116.39,39.72",0,231
"116.70,39.92",0,20
"116.59,39.77",0,90
"116.55,40.20",0,7
"116.18,39.70",0,7
"116.41,40.21",0,0
"116.38,39.77",0,0
"116.27,39.81",0,400
"116.32,40.17",0,108
"116.60,40.15",0,232
"117.14,40.14",0,4
"115.98,39.63",0,1
"117.06,40.26",0,1
"115.99,40.44",0,5
"116.64,40.15",0,3
"116.32,39.52",0,123
"116.22,39.86",0,162
"116.61,39.65",0,13
"116.82,39.81",0,80
"116.03,40.34",0,400
"116.59,39.98",0,18
"116.75,39.93",0,186
"116.58,39.64",0,40
"116.13,40.11",0,221
"116.66,40.37",0,400
"116.41,39.54",0,66
"116.11,39.70",0,5
"116.65,39.65",0,6
"116.74,40.37",0,191
"116.38,39.78",0,0
"116.36,39.67",0,191
"115.95,39.80",0,97
"116.82,40.33",0,2
"116.06,39.64",0,3
"116.26,39.83",0,191
"116.70,39.73",0,166
"115.98,39.72",0,296
"116.62,40.07",0,77
"116.12,39.93",0,82
"116.67,39.97",0,11
"116.85,40.06",0,4
"116.90,40.16",0,400
"116.15,39.77",0,148
"116.06,39.93",0,3
"116.67,39.92",0,21
"116.13,39.68",0,400
"116.19,39.69",0,140
"116.13,40.01",0,0
"116.08,40.28",0,1
"116.70,39.69",0,2
"116.46,40.18",0,0
"116.22,40.27",0,400
"116.38,40.13",0,1
"116.57,39.75",0,0
"116.51,40.22",0,7
"116.51,39.88",0,219
"116.44,40.45",0,222
"116.33,39.51",0,22
"116.29,39.52",0,13
"116.60,40.20",0,73
"116.46,40.68",0,24
"117.19,40.13",0,82
"116.62,40.08",0,80
"116.75,40.29",0,19
"116.03,40.20",0,12
"116.65,40.08",0,29
"116.61,40.03",0,215
"116.23,39.69",0,22
"117.12,40.15",0,9
"116.86,39.81",0,2
"116.87,40.39",0,54
"116.29,40.20",0,184
"116.13,39.86",0,102
"116.35,39.55",0,2
"116.59,39.74",0,54
"115.82,39.53",0,4
"116.19,39.63",0,58
"116.47,40.18",0,376
"116.49,40.20",0,190
"116.20,39.71",0,1
"116.34,39.70",0,400
"116.49,39.75",0,400
"116.52,39.83",0,13
"116.03,39.74",0,1
"116.65,40.40",0,26
"116.72,40.06",0,151
"116.70,40.17",0,1
"116.43,39.57",0,2
"116.59,40.20",0,12
"115.84,39.59",0,0
"116.26,40.21",0,102
"116.49,40.17",0,400
"116.02,40.14",0,27
"116.28,39.76",0,209
"116.68,39.98",0,4
"116.57,40.11",0,296
"116.58,40.11",0,166
"116.46,40.24",0,38
"116.52,40.15",0,103
"116.53,40.11",0,0
"116.75,39.90",0,400
"116.22,40.25",0,400
"116.71,40.08",0,119
"116.32,39.48",0,296
"116.09,40.18",0,4
"116.35,39.62",0,176
"116.04,39.71",0,97
"116.35,40.25",0,102
"116.76,39.72",0,15
"116.45,40.06",0,7
"116.52,39.97",0,166
"116.04,40.32",0,148
"116.70,40.08",0,215
"115.69,39.63",0,0
"116.23,39.66",0,97
"116.23,40.28",0,112
"115.96,40.44",0,18
"115.81,39.56",0,7
"116.19,39.73",0,86
"116.64,39.80",0,55
"116.21,40.28",0,0
"116.73,40.28",0,2
"116.89,40.46",0,0
"116.78,39.66",0,237
"115.83,39.61",0,18
"116.46,39.73",0,23
"116.29,40.12",0,166
"116.13,40.20",0,400
"117.25,40.63",0,400
"116.57,39.78",0,32
"116.65,40.05",0,10
"116.59,40.03",0,200
"116.35,39.73",0,189
"116.19,39.77",0,400
"117.05,40.15",0,2
"116.80,40.05",0,66
"116.69,40.09",0,12
"116.12,40.18",0,0
"116.78,39.61",0,400
"116.43,39.61",0,27
"116.65,40.38",0,400
"116.45,40.36",0,37
"115.96,40.46",0,191
"116.78,40.44",0,3
"116.36,40.16",0,14
"116.17,40.04",0,191
"116.20,39.88",0,147
"116.91,40.10",0,0
"116.03,39.72",0,2
"116.58,40.02",0,83
"116.30,40.20",0,14
"117.01,40.04",0,276
"116.83,39.80",0,41
"116.51,40.14",0,311
"116.69,39.99",0,123
"116.19,39.85",0,166
"116.52,40.07",0,166
"116.74,40.34",0,13
"116.72,39.93",0,86
"116.14,40.04",0,40
"116.31,39.56",0,251
"116.10,40.22",0,0
"116.65,40.06",0,157
"116.66,39.72",0,0
"116.45,40.14",0,3
"116.34,39.61",0,76
"116.25,39.57",0,82
"115.90,40.38",0,400
"116.67,40.08",0,10
"116.65,40.37",0,51
"116.65,39.74",0,400
"116.76,39.92",0,0
"116.59,40.02",0,151
"116.49,39.70",0,12
"116.67,40.06",0,33
"117.24,40.66",0,9
"116.16,39.82",0,400
"116.70,40.15",0,1
"116.51,39.68",0,90
"116.69,39.72",0,3
"116.21,39.83",0,3
"116.19,39.78",0,400
"116.71,40.02",0,8
"116.90,39.80",0,40
"116.45,39.78",0,96
"115.97,40.42",0,3
"116.22,39.81",0,51
"116.38,40.22",0,0
"116.56,39.64",0,83
"117.12,40.53",0,96
"116.21,39.74",0,5
"116.26,40.40",0,5
"116.18,40.09",0,91
"116.81,40.19",0,45
"116.45,40.20",0,400
"116.82,40.06",0,9
"115.94,39.68",0,36
"116.71,39.87",0,20
"116.91,40.20",0,214
"116.17,40.17",0,1
"116.49,39.85",0,74
"116.61,39.84",0,143
"116.44,39.64",0,131
"116.72,39.67",0,46
"117.10,40.09",0,40
"116.78,40.24",0,0
"116.22,40.19",0,246
"116.70,39.95",0,9
"115.60,39.64",0,120
"116.07,39.81",0,17
"116.72,40.21",0,0
"116.83,39.86",0,191
"116.84,40.23",0,15
"116.68,40.76",0,76
"116.58,39.68",0,5
"116.47,39.61",0,0
"116.38,39.79",0,92
"116.45,40.23",0,62
"116.11,40.57",0,18
"115.98,40.43",0,43
"116.23,39.64",0,18
"116.57,40.05",0,2
"116.82,40.36",0,31
"116.21,40.04",0,149
"116.44,40.17",0,400
"116.68,40.12",0,150
"116.69,40.37",0,15
"117.02,40.48",0,0
"116.08,39.65",0,400
"116.33,39.61",0,297
"115.97,39.70",0,32
"116.74,40.05",0,20
"116.33,40.22",0,0
"117.13,40.16",0,13
"116.78,40.14",0,3
"116.13,39.96",0,66
"116.30,40.13",0,40
"116.59,39.87",0,19
"116.58,39.73",0,291
"116.42,39.66",0,1
"117.01,40.08",0,36
"117.15,40.13",0,109
"116.61,39.85",0,186
"116.67,39.82",0,54
"116.76,39.68",0,166
"116.39,40.16",0,118
"116.51,40.95",0,3
"116.36,40.37",0,21
"116.65,40.36",0,208
"116.17,40.14",0,0
"116.03,40.32",0,71
"116.55,40.28",0,115
"116.11,40.22",0,50
"116.07,39.67",0,400
"116.10,39.70",0,2
"116.67,40.03",0,56
"116.79,39.77",0,79
"116.41,39.83",0,23
"116.12,40.01",0,1
"116.03,40.15",0,138
"116.09,40.27",0,7
"116.80,39.86",0,84
"116.66,40.14",0,80
"116.33,39.68",0,40
"116.21,39.96",0,89
"116.08,40.49",0,77
"116.46,39.60",0,297
"116.51,39.63",0,3
"116.79,40.34",0,191
"116.86,40.07",0,103
"116.77,39.80",0,1
"116.59,39.99",0,400
"116.59,40.26",0,45
"116.45,39.75",0,2
"116.12,39.70",0,18
"116.24,39.59",0,1
"116.23,40.03",0,0
"116.25,39.75",0,12
"116.41,39.64",0,400
"116.48,39.70",0,50
"116.73,39.89",0,286
"116.52,39.67",0,32
"116.29,40.17",0,376
"116.63,40.27",0,0
"116.28,40.19",0,40
"116.23,39.65",0,2
"116.87,40.19",0,220
"116.77,39.82",0,107
"116.23,39.67",0,147
"116.72,39.89",0,76
"116.88,39.81",0,42
"116.46,39.57",0,166
"116.68,40.33",0,3
"116.63,39.75",0,2
"116.68,39.75",0,166
"117.16,40.45",0,39
"115.94,39.74",0,26
"116.61,40.19",0,100
"116.66,39.80",0,146
"116.66,39.74",0,7
"116.67,39.83",0,15
"116.64,40.01",0,191
"116.51,40.19",0,400
"116.06,40.17",0,1
"116.14,39.86",0,20
"116.53,40.15",0,9
"116.71,39.91",0,103
"116.64,40.04",0,92
"116.81,39.86",0,1
"116.47,39.70",0,0
"115.94,39.67",0,10
"116.30,39.61",0,208
"117.13,40.15",0,400
"116.11,39.77",0,191
"116.53,39.60",0,109
"116.63,40.38",0,5
"116.76,40.20",0,5
"116.74,39.88",0,3
"116.09,39.88",0,400
"116.49,39.72",0,8
"116.78,39.81",0,400
"116.48,40.17",0,15
"116.13,40.13",0,400
"115.97,40.43",0,10
"116.68,40.30",0,100
"116.75,40.07",0,0
"116.13,39.80",0,129
"116.67,40.40",0,23
"116.40,39.50",0,10
"116.12,39.61",0,291
"116.23,40.13",0,20
"116.17,39.95",0,68
"116.39,39.64",0,90
"116.00,40.42",0,55
"116.36,39.71",0,34
"116.87,40.47",0,400
"116.39,40.07",0,242
"116.64,40.74",0,82
"116.42,40.17",0,242
"116.10,40.48",0,23
"116.35,39.63",0,400
"116.07,40.41",0,235
"115.97,39.79",0,400
"116.80,40.03",0,20
"116.22,39.84",0,176
"116.44,40.11",0,40
"116.36,39.61",0,18
"116.58,40.26",0,82
"116.98,40.18",0,0
"116.78,39.72",0,191
"116.83,40.42",0,89
"116.44,39.65",0,147
"116.17,39.98",0,0
"116.70,39.65",0,103
"116.12,40.26",0,27
"116.39,40.24",0,400
"116.45,40.16",0,0
"116.69,40.33",0,11
"116.16,39.88",0,10
"116.06,39.61",0,21
"116.96,40.09",0,2
"116.73,40.25",0,21
"116.29,40.18",0,311
"116.49,39.64",0,40
"116.64,40.24",0,106
"117.14,40.17",0,1
"116.68,40.04",0,12
"115.98,39.77",0,26
"116.09,40.11",0,2
"116.25,40.10",0,1
"116.31,40.16",0,2
"116.66,39.94",0,13
"116.65,40.35",0,40
"116.58,39.88",0,20
"116.07,40.55",0,15
"116.52,40.14",0,1
"116.65,40.01",0,27
"116.75,40.01",0,34
"116.76,39.88",0,187
"116.08,40.21",0,69
"116.65,40.15",0,400
"116.53,39.67",0,166
"116.57,39.68",0,19
"116.24,39.77",0,218
"116.52,39.68",0,79
"116.62,40.01",0,67
"116.83,40.35",0,77
"116.64,39.81",0,76
"116.23,39.78",0,6
"116.03,39.90",0,12
"116.92,40.15",0,355
"116.62,39.96",0,72
"116.76,40.07",0,13
"116.50,40.22",0,111
"116.22,40.00",0,42
"116.52,39.65",0,12
"116.09,40.17",0,6
"116.23,40.27",0,21
"116.09,39.99",0,1
"116.82,39.78",0,7
"116.22,40.16",0,0
"117.24,40.62",0,400
"116.40,39.75",0,5
"116.16,39.67",0,3
"116.57,39.67",0,400
"116.28,39.77",0,12
"116.25,40.42",0,0
"116.28,39.70",0,0
"116.80,39.77",0,11
"116.34,39.68",0,1
"116.17,39.87",0,3
"116.77,39.85",0,90
"116.64,39.77",0,166
"116.76,39.91",0,244
"115.75,39.55",0,4
"115.78,40.29",0,43
"116.43,39.77",0,19
"116.68,40.00",0,40
"116.80,40.36",0,7
"116.69,40.39",0,55
"116.10,40.23",0,7
"115.99,39.62",0,0
"116.35,40.23",0,400
"116.14,39.62",0,2
"117.07,40.14",0,4
"116.16,40.10",0,166
"116.53,40.00",0,400
"116.59,39.81",0,82
"116.16,40.13",0,7
"116.72,40.16",0,400
"116.79,39.71",0,1
"116.07,40.51",0,55
"116.54,40.23",0,111
"116.73,40.14",0,400
"116.31,40.17",0,40
"116.29,40.24",0,37
"116.77,39.89",0,115
"116.60,39.80",0,73
"116.65,40.39",0,100
"116.79,39.70",0,400
"117.14,40.34",0,4
"116.27,39.70",0,92
"116.58,40.01",0,92
"116.76,39.83",0,15
"116.45,40.13",0,166
"116.57,39.95",0,1
"115.92,39.72",0,36
"116.55,40.14",0,69
"116.38,39.71",0,79
"116.62,40.17",0,166
"115.99,40.47",0,43
"115.91,39.67",0,0
"117.14,40.41",0,101
"116.05,39.87",0,7
"116.73,39.85",0,4
"116.05,39.88",0,10
"116.29,39.54",0,376
"116.18,39.78",0,191
"116.02,39.89",0,52
"116.34,40.14",0,4
"116.21,40.26",0,400
"116.15,39.74",0,49
"116.21,39.82",0,166
"116.65,39.64",0,0
"116.17,40.13",0,0
"115.97,39.68",0,0
"115.91,39.95",0,38
"116.43,39.54",0,0
"116.16,40.15",0,167
"116.93,40.06",0,103
"116.25,39.79",0,80
"116.09,40.00",0,143
"116.74,39.69",0,18
"116.54,39.83",0,40
"116.14,39.88",0,66
"116.23,39.79",0,3
"115.96,39.98",0,31
"116.58,39.69",0,216
"116.25,40.55",0,2
"116.72,39.86",0,400
"115.89,40.08",0,0
"117.01,40.06",0,216
"116.69,40.36",0,96
"116.04,39.76",0,1
"116.53,40.25",0,55
"116.83,40.34",0,0
"116.58,39.75",0,22
"116.21,40.33",0,102
"116.69,40.15",0,124
"116.60,39.81",1,4
"117.08,40.39",0,154
"116.63,39.95",0,75
"116.30,39.63",0,13
"116.15,39.67",0,6
"116.61,40.28",0,2
"116.34,39.52",0,10
"116.34,40.16",0,166
"115.99,39.64",0,4
"116.10,40.18",0,204
"116.75,40.03",0,36
"116.64,39.83",0,150
"116.39,40.03",0,78
"116.80,39.74",0,4
"116.72,39.74",0,231
"115.91,39.82",0,3
"115.90,39.63",0,20
"116.30,39.74",0,89
"116.18,39.96",0,377
"116.06,40.28",0,40
"116.66,40.30",0,1
"116.82,39.83",0,44
"116.12,39.80",0,38
"115.82,40.48",0,0
"116.12,40.10",0,32
"116.04,39.65",0,115
"116.44,39.75",0,2
"116.33,39.59",0,124
"116.29,40.22",0,0
"116.44,39.73",0,73
"116.25,40.13",0,7
"116.84,39.79",0,10
"116.88,40.06",0,103
"116.55,40.38",0,38
"116.46,40.14",0,166
"116.67,39.70",0,31
"116.50,40.08",0,83
"116.42,40.18",0,21
"116.75,40.09",0,2
"116.41,39.74",0,76
"116.15,40.10",0,4
"116.75,39.89",0,0
"116.53,40.22",0,66
"116.30,40.22",0,58
"116.01,40.20",0,157
"116.44,39.78",0,31
"116.66,39.75",0,3
"116.14,39.68",0,176
"116.82,40.11",0,58
"116.26,39.69",0,92
"116.20,39.78",0,56
"116.57,40.17",0,0
"116.22,40.17",0,0
"116.14,40.06",0,29
"116.45,39.72",0,400
"116.05,39.72",0,191
"116.51,39.73",0,190
"116.42,39.59",0,0
"116.75,40.06",0,215
"116.17,40.09",0,19
"116.76,40.31",0,58
"116.04,40.31",0,77
"116.50,40.21",0,2
"115.85,39.69",0,0
"116.48,40.16",0,244
"116.10,39.97",0,109
"116.58,40.31",0,77
"116.84,40.48",0,9
"116.33,39.63",0,0
"116.84,40.47",0,10
"116.48,39.83",0,47
"116.02,40.48",0,117
"116.54,40.22",0,0
"116.51,40.13",0,206
"115.97,39.62",0,38
"116.56,40.04",0,7
"115.93,39.65",0,88
"116.12,39.97",0,169
"116.38,39.63",0,0
"116.43,39.68",0,11
"116.11,40.24",0,55
"116.89,40.41",0,0
"116.81,39.67",0,4
"116.66,39.97",0,74
"116.69,40.34",0,7
"116.03,39.88",0,1
"116.70,40.23",0,166
"116.13,39.93",0,113
"116.77,40.17",0,1
"116.68,39.85",0,0
"116.93,40.15",0,3
"116.57,39.94",0,291
"116.69,39.75",0,151
"115.89,39.82",0,0
"116.74,39.99",0,41
"116.32,40.18",0,10
"116.62,40.44",0,56
"116.65,39.85",0,73
"116.21,40.14",0,291
"116.21,40.18",0,355
"116.82,40.43",0,26
"116.24,39.69",0,25
"116.10,39.66",0,5
"116.37,39.57",0,11
"116.10,40.11",0,14
"116.06,39.74",0,8
"116.46,40.15",0,4
"116.24,40.09",0,0
"116.61,40.26",0,16
"116.44,40.06",0,52
"116.13,40.22",0,0
"116.38,39.52",0,4
"116.43,39.72",0,5
"116.53,40.06",0,400
"116.67,40.32",0,0
"116.55,40.18",0,1
"116.68,40.06",0,49
"116.79,40.29",0,298
"115.54,39.81",0,30
"116.07,39.61",0,55
"116.17,39.90",0,46
"116.72,39.83",0,4
"116.01,39.69",0,18
"116.08,40.27",0,3
"116.50,40.41",0,72
"116.24,40.13",0,38
"116.79,40.18",0,0
"116.07,39.78",0,0
"116.06,39.63",0,274
"116.13,39.78",0,74
"116.09,40.24",0,237
"115.90,40.39",0,24
"116.38,40.19",0,24
"116.11,40.20",0,1
"116.81,40.06",0,1
"116.42,39.51",0,209
"116.67,39.64",0,16
"116.40,39.68",0,183
"116.21,40.13",0,3
"116.91,40.09",0,0
"117.15,40.19",0,68
"116.43,40.14",0,54
"116.23,40.30",0,88
"116.62,39.71",0,4
"116.22,40.32",0,26
"116.79,40.33",0,0
"115.92,39.65",0,11
"115.98,39.65",0,10
"116.77,40.38",0,114
"116.35,40.18",0,48
"116.66,40.74",0,7
"116.83,40.18",0,176
"116.30,39.73",0,166
"116.60,40.27",0,333
"116.17,40.18",0,400
"116.47,40.19",0,7
"117.16,40.23",0,161
"116.59,39.64",0,231
"116.10,39.95",0,7
"116.46,40.21",0,0
"116.77,40.07",0,400
"116.49,40.14",0,246
"116.01,39.66",0,1
"116.48,40.11",0,400
"116.08,39.81",0,32
"116.59,40.36",0,0
