o,bus_stops,tube_stops
"116.53,39.95",1.0,0.0
"116.21,40.25",2.0,0.0
"116.55,40.10",4.0,0.0
"115.98,40.45",5.0,0.0
"116.71,40.24",0.0,0.0
"116.78,39.71",6.0,0.0
"116.69,39.81",1.0,0.0
"116.60,40.21",4.0,0.0
"116.18,39.80",1.0,0.0
"116.14,40.11",5.0,0.0
"116.44,39.79",1.0,0.0
"116.67,39.94",8.0,0.0
"116.70,39.98",0.0,0.0
"115.96,39.66",0.0,0.0
"116.66,40.08",2.0,0.0
"116.62,40.05",1.0,0.0
"116.75,40.12",2.0,0.0
"116.45,40.11",5.0,0.0
"116.40,40.19",1.0,0.0
"115.92,39.64",1.0,0.0
"116.88,39.71",2.0,0.0
"116.45,39.76",2.0,0.0
"116.13,40.08",0.0,0.0
"116.02,39.60",6.0,0.0
"116.56,39.76",1.0,0.0
"116.73,39.68",0.0,0.0
"116.20,39.83",6.0,0.0
"116.72,39.95",1.0,0.0
"116.19,39.81",1.0,0.0
"116.47,39.62",2.0,0.0
"116.64,40.18",3.0,0.0
"116.09,39.95",4.0,0.0
"116.50,39.82",1.0,0.0
"116.14,39.95",1.0,0.0
"116.63,39.92",4.0,0.0
"116.03,39.71",1.0,1.0
"116.60,39.74",1.0,0.0
"116.80,40.33",0.0,0.0
"115.83,39.65",4.0,0.0
"116.02,40.28",1.0,0.0
"116.00,39.70",3.0,1.0
"116.05,39.74",3.0,0.0
"116.62,40.10",2.0,0.0
"116.48,39.81",1.0,1.0
"116.11,39.85",3.0,0.0
"116.21,40.11",2.0,0.0
"116.03,40.48",3.0,0.0
"116.29,39.79",2.0,0.0
"116.28,39.55",3.0,0.0
"116.23,40.24",0.0,0.0
"116.01,40.29",1.0,0.0
"116.79,39.81",3.0,0.0
"116.55,40.40",1.0,0.0
"116.63,40.12",2.0,0.0
"116.36,39.68",0.0,0.0
"116.26,39.82",4.0,0.0
"116.19,39.89",1.0,0.0
"116.18,40.23",1.0,0.0
"116.39,39.82",2.0,0.0
"116.54,39.93",2.0,0.0
"116.57,40.01",2.0,0.0
"116.51,39.72",0.0,0.0
"116.60,40.06",0.0,0.0
"115.98,39.68",4.0,0.0
"116.12,40.09",1.0,0.0
"116.62,40.02",1.0,0.0
"115.95,39.73",7.0,0.0
"116.58,40.13",2.0,0.0
"117.06,40.39",1.0,0.0
"116.27,39.82",2.0,0.0
"117.11,40.16",2.0,0.0
"116.19,40.04",2.0,0.0
"116.64,40.17",2.0,0.0
"115.86,40.48",1.0,0.0
"116.54,39.73",1.0,0.0
"116.43,39.82",4.0,0.0
"116.62,39.66",3.0,0.0
"115.63,39.83",1.0,0.0
"116.20,39.89",5.0,0.0
"116.25,39.78",0.0,0.0
"116.50,39.69",2.0,0.0
"116.86,40.37",14.0,0.0
"116.59,40.11",1.0,0.0
"116.14,40.24",1.0,0.0
"116.06,39.99",0.0,0.0
"116.56,39.77",9.0,0.0
"116.64,39.75",0.0,0.0
"116.64,40.11",1.0,0.0
"116.28,40.07",0.0,0.0
"116.13,39.94",3.0,0.0
"116.65,40.62",1.0,0.0
"116.71,39.79",0.0,0.0
"116.60,40.00",3.0,0.0
"116.20,39.84",7.0,0.0
"116.07,39.94",9.0,0.0
"116.23,39.96",0.0,0.0
"116.38,40.09",2.0,0.0
"116.59,39.86",1.0,0.0
"116.56,40.09",1.0,0.0
"116.24,39.85",3.0,0.0
"116.54,39.87",2.0,0.0
"116.44,40.01",1.0,0.0
"116.44,39.76",7.0,1.0
"116.59,40.22",1.0,0.0
"116.84,40.16",0.0,0.0
"116.67,40.17",1.0,0.0
"116.37,39.74",2.0,0.0
"116.51,40.23",1.0,0.0
"116.37,40.04",3.0,0.0
"116.78,39.77",7.0,0.0
"116.15,40.13",3.0,0.0
"116.14,40.13",2.0,0.0
"116.03,39.60",2.0,0.0
"116.64,39.85",1.0,0.0
"116.19,39.88",0.0,0.0
"116.69,39.93",10.0,0.0
"116.90,40.39",2.0,0.0
"116.42,40.09",0.0,0.0
"116.23,39.99",0.0,0.0
"116.62,40.13",5.0,0.0
"116.50,39.88",1.0,0.0
"116.60,39.99",2.0,0.0
"115.98,39.74",4.0,0.0
"116.22,40.08",6.0,0.0
"116.61,39.99",0.0,0.0
"116.57,39.85",2.0,0.0
"116.54,40.10",10.0,0.0
"116.33,39.64",0.0,0.0
"116.07,40.28",1.0,0.0
"116.58,40.10",2.0,0.0
"116.26,40.24",2.0,0.0
"116.68,40.34",2.0,0.0
"116.55,39.81",6.0,0.0
"116.31,39.62",2.0,0.0
"116.71,39.64",0.0,0.0
"116.83,40.05",0.0,0.0
"116.48,39.78",6.0,0.0
"116.38,39.72",2.0,0.0
"116.89,40.37",2.0,0.0
"116.40,40.10",3.0,0.0
"116.24,39.93",7.0,0.0
"116.38,40.21",1.0,0.0
"116.58,40.17",1.0,0.0
"116.66,40.36",1.0,0.0
"116.69,40.29",2.0,0.0
"116.26,40.67",0.0,0.0
"116.56,39.73",5.0,0.0
"116.26,40.11",0.0,0.0
"116.48,39.72",0.0,0.0
"116.60,39.86",0.0,0.0
"116.38,40.02",0.0,0.0
"116.67,40.22",2.0,0.0
"116.72,39.91",5.0,0.0
"116.66,40.06",2.0,0.0
"115.98,40.49",1.0,0.0
"116.55,39.75",6.0,0.0
"116.09,39.81",3.0,0.0
"116.25,40.09",1.0,0.0
"116.14,39.93",0.0,0.0
"116.63,40.30",0.0,0.0
"116.53,39.89",0.0,0.0
"116.44,40.15",1.0,0.0
"116.52,40.04",0.0,0.0
"116.53,39.72",0.0,0.0
"116.16,40.25",2.0,0.0
"116.54,39.77",9.0,0.0
"116.04,40.29",0.0,0.0
"116.15,39.91",2.0,0.0
"116.57,39.66",4.0,0.0
"116.67,40.02",3.0,0.0
"116.65,40.20",3.0,0.0
"116.70,39.87",7.0,0.0
"116.40,39.58",0.0,0.0
"116.30,39.80",0.0,0.0
"116.25,40.06",0.0,0.0
"115.95,39.60",2.0,0.0
"116.61,39.97",0.0,0.0
"116.68,40.39",1.0,0.0
"116.70,39.91",7.0,0.0
"116.02,40.35",0.0,0.0
"116.18,39.87",1.0,0.0
"116.51,40.17",2.0,0.0
"116.19,40.19",3.0,0.0
"116.69,39.89",6.0,0.0
"116.29,39.50",0.0,0.0
"116.73,39.87",0.0,0.0
"116.74,39.97",2.0,0.0
"116.65,40.29",4.0,0.0
"116.83,40.36",3.0,0.0
"116.12,39.74",0.0,0.0
"116.13,40.07",0.0,0.0
"116.62,39.98",1.0,0.0
"116.75,40.23",0.0,0.0
"116.30,39.79",3.0,0.0
"115.97,40.48",2.0,0.0
"116.23,40.09",2.0,0.0
"116.64,40.16",2.0,0.0
"116.75,40.14",4.0,0.0
"116.22,40.04",1.0,0.0
"116.47,40.14",2.0,0.0
"117.11,40.13",7.0,0.0
"116.14,39.89",3.0,0.0
"116.46,39.63",2.0,0.0
"116.60,39.96",2.0,0.0
"116.44,39.74",0.0,0.0
"116.11,39.86",0.0,0.0
"116.42,40.15",0.0,0.0
"116.38,39.83",5.0,0.0
"116.49,39.69",2.0,0.0
"116.66,40.05",3.0,0.0
"116.63,39.77",1.0,0.0
"116.18,40.20",3.0,0.0
"115.96,40.40",2.0,0.0
"116.05,39.70",1.0,0.0
"116.64,40.19",4.0,0.0
"116.74,39.85",3.0,0.0
"116.11,40.23",2.0,0.0
"116.75,40.10",9.0,0.0
"116.35,39.66",1.0,0.0
"116.18,39.98",0.0,0.0
"116.41,39.81",1.0,0.0
"116.15,40.27",0.0,0.0
"116.13,40.23",3.0,0.0
"116.62,40.37",1.0,0.0
"116.05,39.59",0.0,0.0
"116.74,39.63",0.0,0.0
"116.56,40.18",1.0,0.0
"116.23,39.97",2.0,0.0
"116.37,40.17",4.0,0.0
"116.19,40.22",0.0,0.0
"116.24,40.18",1.0,0.0
"116.11,40.11",1.0,0.0
"116.50,39.74",2.0,0.0
"116.68,39.97",5.0,0.0
"116.54,40.41",1.0,0.0
"116.54,40.25",1.0,0.0
"116.65,39.82",1.0,0.0
"116.67,40.10",1.0,0.0
"116.65,39.96",4.0,0.0
"116.25,40.17",0.0,0.0
"116.27,39.65",4.0,0.0
"116.21,39.80",1.0,0.0
"116.78,39.67",2.0,0.0
"116.58,39.78",0.0,0.0
"116.62,39.82",2.0,0.0
"116.11,39.92",6.0,0.0
"116.81,39.76",2.0,0.0
"116.41,39.59",1.0,0.0
"115.95,40.35",0.0,0.0
"116.16,39.83",1.0,0.0
"116.20,39.85",1.0,0.0
"116.45,40.08",4.0,0.0
"116.55,40.24",2.0,0.0
"116.35,39.68",0.0,0.0
"116.46,40.04",1.0,0.0
"116.38,40.18",0.0,0.0
"116.55,40.09",6.0,0.0
"116.49,39.74",0.0,0.0
"116.85,40.18",0.0,0.0
"116.79,40.37",4.0,0.0
"116.82,40.37",13.0,0.0
"116.38,40.11",0.0,0.0
"116.30,39.71",0.0,0.0
"116.43,39.73",6.0,0.0
"116.78,39.73",1.0,0.0
"116.54,39.94",2.0,0.0
"115.71,39.96",0.0,0.0
"116.39,40.18",0.0,0.0
"116.48,39.82",0.0,0.0
"116.61,40.14",1.0,0.0
"116.17,40.05",1.0,0.0
"116.18,39.88",1.0,0.0
"116.52,40.11",1.0,0.0
"116.68,39.95",2.0,0.0
"116.20,40.12",1.0,0.0
"116.20,40.23",0.0,0.0
"116.59,40.30",0.0,0.0
"116.58,40.03",0.0,0.0
"116.29,39.60",2.0,0.0
"116.65,40.07",1.0,0.0
"116.73,39.84",6.0,0.0
"116.14,39.82",1.0,0.0
"116.17,39.86",2.0,0.0
"116.59,40.21",0.0,0.0
"116.07,39.60",1.0,0.0
"116.18,40.18",2.0,0.0
"116.58,39.83",1.0,0.0
"116.45,40.03",1.0,0.0
"116.44,40.05",3.0,0.0
"116.65,39.83",3.0,0.0
"116.61,40.11",0.0,0.0
"116.61,39.75",0.0,0.0
"116.21,39.98",0.0,0.0
"116.27,40.08",0.0,0.0
"116.26,40.18",2.0,0.0
"116.23,40.18",3.0,0.0
"116.14,39.79",4.0,0.0
"116.99,40.42",1.0,0.0
"116.18,40.11",0.0,0.0
"116.42,40.10",4.0,0.0
"116.43,39.62",1.0,0.0
"116.26,39.79",0.0,0.0
"116.10,39.68",2.0,0.0
"116.11,39.73",6.0,0.0
"116.29,39.76",0.0,0.0
"116.29,39.70",3.0,0.0
"116.91,40.11",0.0,0.0
"116.05,40.28",0.0,0.0
"116.75,40.63",1.0,0.0
"115.95,40.39",1.0,0.0
"116.51,40.04",2.0,0.0
"116.21,40.22",3.0,0.0
"116.47,39.78",2.0,0.0
"116.77,39.86",0.0,0.0
"116.10,40.05",0.0,0.0
"116.01,39.72",1.0,0.0
"116.37,39.81",2.0,0.0
"116.50,39.63",2.0,0.0
"116.16,40.04",0.0,0.0
"116.24,40.30",4.0,0.0
"116.08,40.20",1.0,0.0
"116.62,40.31",6.0,0.0
"116.03,39.87",2.0,0.0
"116.18,40.21",2.0,0.0
"116.27,40.22",0.0,0.0
"116.41,39.77",3.0,0.0
"115.94,39.73",3.0,0.0
"116.53,39.83",2.0,0.0
"115.96,40.52",2.0,0.0
"116.18,40.17",2.0,0.0
"116.26,39.72",2.0,0.0
"116.62,39.88",1.0,0.0
"116.83,40.37",14.0,0.0
"117.27,40.65",0.0,0.0
"117.11,40.11",5.0,0.0
"116.70,39.94",4.0,0.0
"116.25,39.80",0.0,0.0
"116.10,39.73",3.0,0.0
"116.19,40.21",1.0,0.0
"116.40,40.24",0.0,0.0
"116.03,39.64",1.0,0.0
"116.69,40.11",2.0,0.0
"115.96,39.75",6.0,0.0
"116.41,39.76",2.0,0.0
"116.18,40.25",0.0,0.0
"116.17,40.25",1.0,0.0
"116.32,40.20",3.0,0.0
"116.44,40.13",0.0,0.0
"116.76,40.23",3.0,0.0
"116.17,40.20",1.0,0.0
"116.48,40.04",1.0,0.0
"116.83,40.38",10.0,0.0
"116.52,39.69",0.0,0.0
"116.82,39.73",3.0,0.0
"116.62,40.04",3.0,0.0
"116.51,40.05",0.0,0.0
"116.17,39.83",3.0,0.0
"116.35,39.77",3.0,0.0
"116.57,39.93",3.0,0.0
"115.97,40.37",2.0,0.0
"116.81,40.56",0.0,0.0
"116.02,40.34",2.0,0.0
"116.63,40.05",3.0,0.0
"116.22,40.11",0.0,0.0
"116.81,40.21",2.0,0.0
"116.69,39.78",2.0,0.0
"115.93,40.36",3.0,0.0
"116.24,39.82",1.0,0.0
"116.39,40.09",1.0,0.0
"116.32,39.56",1.0,0.0
"116.67,39.99",1.0,0.0
"116.09,39.92",0.0,0.0
"116.48,40.19",0.0,0.0
"115.91,39.74",1.0,0.0
"116.60,39.84",2.0,0.0
"116.54,40.12",2.0,0.0
"116.69,39.76",1.0,0.0
"116.61,40.30",0.0,0.0
"116.15,40.08",1.0,0.0
"116.39,40.19",1.0,0.0
"116.19,40.05",0.0,0.0
"116.68,40.28",5.0,0.0
"116.52,40.28",0.0,0.0
"116.49,40.24",2.0,0.0
"116.91,40.05",0.0,0.0
"116.21,40.16",3.0,0.0
"116.52,39.70",3.0,0.0
"116.59,40.13",1.0,0.0
"116.55,40.21",3.0,0.0
"116.37,40.25",0.0,0.0
"116.36,40.25",3.0,0.0
"116.35,40.12",3.0,0.0
"116.07,40.29",1.0,0.0
"116.66,39.83",0.0,0.0
"116.64,40.03",1.0,0.0
"116.65,39.88",0.0,0.0
"116.22,39.79",0.0,0.0
"116.72,39.77",3.0,0.0
"116.22,39.87",2.0,0.0
"115.98,40.47",8.0,0.0
"116.76,40.00",0.0,0.0
"116.18,40.07",3.0,1.0
"117.08,40.14",3.0,0.0
"116.35,39.74",3.0,0.0
"116.08,39.76",2.0,0.0
"116.22,39.98",0.0,0.0
"116.11,40.05",1.0,0.0
"115.96,39.72",5.0,0.0
"115.98,39.64",1.0,0.0
"116.69,39.85",1.0,0.0
"116.19,39.75",1.0,0.0
"116.30,39.69",3.0,0.0
"116.48,40.24",3.0,0.0
"117.10,40.62",1.0,0.0
"116.58,40.29",4.0,0.0
"115.89,40.37",6.0,0.0
"116.57,39.89",2.0,0.0
"116.72,39.64",2.0,0.0
"116.25,39.99",0.0,0.0
"115.92,40.36",2.0,0.0
"116.37,39.72",1.0,0.0
"116.00,40.31",0.0,0.0
"116.52,40.24",0.0,0.0
"116.03,39.73",0.0,0.0
"116.57,40.15",0.0,0.0
"116.78,39.85",3.0,0.0
"116.59,39.84",4.0,0.0
"115.92,40.43",2.0,0.0
"116.73,40.01",1.0,0.0
"116.67,40.09",7.0,0.0
"116.20,39.66",2.0,0.0
"116.12,39.77",0.0,0.0
"115.96,40.36",5.0,0.0
"116.15,39.66",3.0,0.0
"116.63,40.13",6.0,0.0
"116.23,39.84",6.0,0.0
"116.54,39.82",4.0,0.0
"116.34,39.63",0.0,0.0
"116.20,40.06",0.0,0.0
"116.64,40.06",2.0,0.0
"116.21,39.97",1.0,0.0
"116.75,39.79",0.0,0.0
"116.68,39.76",7.0,0.0
"116.29,39.75",0.0,0.0
"116.74,39.93",0.0,0.0
"116.23,40.06",2.0,0.0
"116.53,40.08",1.0,0.0
"116.65,39.75",5.0,0.0
"115.90,39.59",5.0,0.0
"116.56,39.72",0.0,0.0
"116.52,39.95",5.0,0.0
"116.57,40.13",3.0,0.0
"116.65,39.86",4.0,0.0
"116.25,40.19",1.0,0.0
"116.68,39.64",0.0,0.0
"117.12,40.13",10.0,0.0
"115.77,39.54",1.0,0.0
"116.17,39.96",0.0,0.0
"116.43,39.56",3.0,0.0
"116.78,40.33",0.0,0.0
"116.13,40.15",3.0,0.0
"116.20,39.74",3.0,0.0
"116.20,39.98",3.0,0.0
"116.62,39.79",0.0,0.0
"116.06,39.81",4.0,0.0
"116.25,40.28",0.0,0.0
"116.67,39.65",0.0,0.0
"116.51,39.75",2.0,0.0
"116.53,40.12",1.0,0.0
"116.04,39.81",2.0,0.0
"116.32,39.53",7.0,0.0
"116.68,40.14",0.0,0.0
"115.89,39.66",3.0,0.0
"117.14,40.54",0.0,0.0
"116.47,40.11",5.0,0.0
"116.70,39.96",1.0,0.0
"116.16,40.03",0.0,0.0
"116.42,39.58",2.0,0.0
"116.46,39.72",5.0,0.0
"116.36,39.78",0.0,0.0
"116.47,39.71",3.0,0.0
"116.58,39.86",0.0,0.0
"116.17,39.85",0.0,0.0
"116.60,39.98",1.0,0.0
"116.03,39.99",1.0,0.0
"116.11,39.90",3.0,0.0
"116.21,39.70",3.0,0.0
"116.20,39.82",2.0,0.0
"116.63,40.09",2.0,0.0
"116.15,40.12",0.0,0.0
"116.28,40.12",0.0,0.0
"116.26,39.94",0.0,0.0
"116.54,40.16",0.0,0.0
"115.89,40.38",4.0,0.0
"116.18,39.89",1.0,0.0
"116.39,39.53",0.0,0.0
"116.14,40.58",1.0,0.0
"116.64,40.20",3.0,0.0
"116.61,39.63",0.0,0.0
"116.20,40.11",1.0,0.0
"116.60,40.09",0.0,0.0
"116.53,40.38",2.0,0.0
"116.73,40.31",1.0,0.0
"116.77,39.60",0.0,0.0
"116.57,40.26",4.0,0.0
"116.20,39.96",2.0,0.0
"116.71,39.72",1.0,0.0
"116.17,40.10",0.0,0.0
"116.10,39.60",1.0,0.0
"116.41,40.16",0.0,0.0
"116.61,40.27",1.0,0.0
"116.50,40.10",0.0,0.0
"116.30,39.67",2.0,0.0
"116.11,40.21",1.0,0.0
"117.12,40.16",6.0,0.0
"116.43,40.22",0.0,0.0
"116.68,40.36",6.0,0.0
"116.37,40.36",5.0,0.0
"116.09,39.66",0.0,0.0
"116.39,39.65",0.0,0.0
"116.29,39.51",2.0,0.0
"116.46,39.76",1.0,0.0
"116.65,39.98",6.0,0.0
"117.21,40.65",0.0,0.0
"116.45,39.68",2.0,0.0
"116.56,39.97",1.0,0.0
"116.06,39.76",3.0,0.0
"116.22,39.78",0.0,0.0
"116.29,39.62",2.0,0.0
"116.11,40.19",3.0,0.0
"116.20,40.21",2.0,0.0
"116.65,39.66",1.0,0.0
"115.71,40.10",0.0,0.0
"116.67,40.21",4.0,0.0
"116.18,39.79",0.0,0.0
"116.04,39.62",0.0,0.0
"116.54,39.97",1.0,0.0
"116.14,39.90",2.0,0.0
"116.26,39.80",2.0,0.0
"115.83,39.55",2.0,0.0
"116.76,39.87",0.0,0.0
"116.40,39.64",0.0,0.0
"116.13,39.76",0.0,0.0
"116.66,39.65",3.0,0.0
"116.08,39.58",2.0,0.0
"115.91,40.36",0.0,0.0
"116.37,39.67",1.0,0.0
"116.23,40.14",0.0,0.0
"116.30,39.52",2.0,0.0
"116.76,39.80",0.0,0.0
"116.40,40.22",0.0,0.0
"116.40,39.72",5.0,0.0
"116.16,39.85",2.0,0.0
"116.56,40.15",2.0,0.0
"116.36,40.17",1.0,0.0
"116.15,39.87",0.0,0.0
"116.79,40.35",3.0,0.0
"116.46,39.85",2.0,0.0
"116.18,40.08",1.0,0.0
"116.13,39.77",0.0,0.0
"116.00,40.46",4.0,0.0
"116.07,39.76",3.0,0.0
"116.22,40.05",0.0,0.0
"116.22,39.76",0.0,0.0
"116.64,40.34",4.0,0.0
"116.07,39.66",1.0,0.0
"116.86,40.40",0.0,0.0
"116.57,39.71",2.0,0.0
"116.36,39.74",2.0,0.0
"116.76,40.14",1.0,0.0
"115.95,40.36",3.0,0.0
"116.22,39.97",2.0,0.0
"116.77,39.64",1.0,0.0
"116.86,40.17",2.0,0.0
"116.45,40.18",0.0,0.0
"115.96,39.68",0.0,0.0
"116.48,40.08",0.0,0.0
"116.52,40.12",5.0,0.0
"116.27,39.79",0.0,0.0
"116.70,39.67",1.0,0.0
"116.42,40.11",0.0,0.0
"116.23,39.87",6.0,0.0
"116.64,39.79",0.0,0.0
"117.20,40.13",0.0,0.0
"116.27,40.13",1.0,0.0
"116.54,40.21",1.0,0.0
"116.24,40.02",0.0,0.0
"116.45,40.12",2.0,0.0
"116.87,39.72",2.0,0.0
"116.21,39.85",0.0,0.0
"116.19,40.25",3.0,0.0
"116.57,39.82",2.0,0.0
"116.73,39.86",2.0,0.0
"116.14,39.70",2.0,0.0
"116.03,39.59",0.0,0.0
"116.24,40.29",4.0,0.0
"116.02,40.29",1.0,0.0
"116.45,39.57",0.0,0.0
"116.11,40.18",0.0,0.0
"116.20,39.64",2.0,0.0
"116.39,39.54",2.0,0.0
"115.98,40.46",4.0,0.0
"116.46,40.12",2.0,0.0
"116.66,40.27",0.0,0.0
"116.62,40.38",0.0,0.0
"116.74,39.87",2.0,0.0
"116.39,39.83",3.0,1.0
"116.58,39.70",4.0,0.0
"116.68,40.27",0.0,0.0
"116.29,40.01",0.0,0.0
"116.30,40.19",0.0,0.0
"115.96,39.71",2.0,0.0
"116.47,39.69",0.0,0.0
"116.90,39.74",0.0,0.0
"116.28,39.65",0.0,0.0
"116.15,40.26",1.0,0.0
"116.91,40.08",1.0,0.0
"116.29,39.80",0.0,0.0
"116.45,39.73",1.0,0.0
"115.99,39.69",2.0,0.0
"116.60,40.14",6.0,0.0
"116.79,40.20",0.0,0.0
"116.77,39.92",1.0,0.0
"116.55,40.17",1.0,0.0
"116.17,40.22",0.0,0.0
"116.12,40.08",1.0,0.0
"116.31,39.66",0.0,0.0
"116.54,39.84",2.0,0.0
"116.92,40.08",0.0,0.0
"116.92,40.06",1.0,0.0
"116.88,40.10",3.0,0.0
"116.88,40.37",0.0,0.0
"116.08,40.23",4.0,0.0
"116.15,39.82",1.0,0.0
"116.90,39.82",3.0,0.0
"116.70,39.68",4.0,0.0
"116.02,39.88",2.0,0.0
"116.45,39.71",2.0,0.0
"116.58,39.74",2.0,0.0
"116.38,39.70",1.0,0.0
"116.20,40.16",0.0,0.0
"116.63,40.03",4.0,0.0
"116.11,40.06",1.0,0.0
"116.24,40.23",0.0,0.0
"116.23,39.77",5.0,0.0
"116.69,40.14",2.0,0.0
"116.60,39.83",0.0,0.0
"116.31,39.73",0.0,0.0
"116.51,40.03",1.0,0.0
"116.15,39.94",1.0,0.0
"116.41,40.15",1.0,0.0
"116.38,39.65",1.0,0.0
"116.68,39.84",0.0,0.0
"116.65,40.04",0.0,0.0
"116.32,40.22",3.0,0.0
"115.92,39.60",3.0,0.0
"116.68,40.38",1.0,0.0
"116.44,39.72",0.0,0.0
"116.77,39.81",3.0,0.0
"116.27,39.57",0.0,0.0
"117.22,40.17",3.0,0.0
"116.19,39.71",2.0,0.0
"115.49,39.98",0.0,0.0
"116.62,39.89",0.0,0.0
"116.56,39.95",0.0,0.0
"116.64,40.22",1.0,0.0
"116.02,39.79",3.0,0.0
"116.09,39.79",1.0,0.0
"117.17,40.12",4.0,0.0
"116.57,39.73",0.0,0.0
"116.69,39.90",2.0,0.0
"116.16,40.53",4.0,0.0
"116.36,40.12",0.0,0.0
"117.14,40.15",0.0,0.0
"116.41,40.13",0.0,0.0
"116.63,40.08",1.0,0.0
"116.16,39.68",3.0,0.0
"116.37,39.82",3.0,0.0
"116.61,39.87",3.0,0.0
"116.78,40.28",0.0,0.0
"116.15,39.89",0.0,0.0
"116.74,40.36",0.0,0.0
"116.73,40.04",4.0,0.0
"116.99,40.28",2.0,0.0
"116.36,39.72",1.0,0.0
"116.37,39.62",0.0,0.0
"116.28,39.98",2.0,0.0
"116.33,40.19",0.0,0.0
"116.71,40.15",1.0,0.0
"116.33,40.02",1.0,0.0
"116.56,40.26",0.0,0.0
"116.00,40.14",1.0,0.0
"116.76,39.89",1.0,0.0
"116.55,39.97",1.0,0.0
"116.58,39.81",0.0,0.0
"116.13,39.71",2.0,0.0
"116.10,39.76",4.0,0.0
"116.52,40.46",0.0,0.0
"117.22,40.61",3.0,0.0
"116.73,39.63",1.0,0.0
"116.62,40.73",2.0,0.0
"115.97,40.35",0.0,0.0
"116.83,40.16",1.0,0.0
"116.48,40.15",0.0,0.0
"117.28,40.18",1.0,0.0
"116.57,39.87",2.0,0.0
"116.27,39.66",2.0,0.0
"116.57,40.14",3.0,0.0
"116.57,40.21",1.0,0.0
"116.06,39.83",0.0,0.0
"116.11,39.89",4.0,1.0
"116.39,39.75",1.0,0.0
"116.69,40.10",1.0,0.0
"117.03,40.14",4.0,0.0
"116.14,39.76",2.0,0.0
"116.67,40.37",2.0,0.0
"116.38,39.81",1.0,0.0
"116.12,40.12",5.0,0.0
"116.12,39.86",0.0,0.0
"116.25,39.74",0.0,0.0
"116.61,39.86",1.0,0.0
"116.11,39.94",2.0,0.0
"116.43,40.12",1.0,0.0
"116.64,40.08",2.0,0.0
"116.78,40.22",2.0,0.0
"116.09,39.69",0.0,0.0
"116.15,40.24",1.0,0.0
"116.65,39.97",1.0,0.0
"116.42,39.69",0.0,0.0
"116.43,40.10",4.0,0.0
"116.73,39.95",2.0,0.0
"116.12,39.85",1.0,0.0
"116.50,40.09",3.0,0.0
"116.84,40.36",8.0,0.0
"116.69,40.21",1.0,0.0
"116.61,39.79",0.0,0.0
"117.09,40.15",7.0,0.0
"116.57,40.03",1.0,0.0
"116.76,39.93",1.0,0.0
"116.80,40.04",3.0,0.0
"115.99,39.72",1.0,0.0
"116.14,39.67",2.0,0.0
"116.33,39.49",0.0,0.0
"116.44,40.16",3.0,0.0
"116.32,39.70",4.0,0.0
"116.22,40.14",2.0,0.0
"116.62,40.15",0.0,0.0
"116.49,40.13",2.0,0.0
"116.54,39.78",1.0,0.0
"116.31,39.52",6.0,0.0
"116.63,39.98",0.0,0.0
"116.84,40.40",7.0,0.0
"116.54,39.85",0.0,0.0
"116.02,40.42",1.0,0.0
"116.60,40.12",2.0,0.0
"116.10,40.00",3.0,0.0
"116.59,39.65",2.0,0.0
"116.20,40.25",0.0,0.0
"116.08,39.66",2.0,0.0
"115.93,39.71",0.0,0.0
"117.02,40.14",3.0,0.0
"116.21,40.00",0.0,0.0
"116.86,40.39",3.0,0.0
"116.71,40.09",1.0,0.0
"116.48,40.03",0.0,0.0
"116.13,39.91",1.0,1.0
"116.03,39.67",1.0,0.0
"116.45,40.07",0.0,0.0
"116.11,39.95",5.0,0.0
"116.49,39.65",4.0,0.0
"116.14,40.12",0.0,0.0
"116.86,39.78",0.0,0.0
"116.62,40.11",0.0,0.0
"116.16,39.94",0.0,0.0
"116.38,39.74",2.0,0.0
"116.13,40.05",2.0,0.0
"116.67,39.98",1.0,0.0
"116.12,39.95",2.0,0.0
"116.14,40.23",0.0,0.0
"116.18,39.71",0.0,0.0
"116.61,40.02",3.0,0.0
"116.13,39.64",1.0,0.0
"117.06,40.14",2.0,0.0
"116.44,40.20",0.0,0.0
"115.93,39.74",0.0,0.0
"116.42,39.52",0.0,0.0
"116.25,39.76",0.0,0.0
"116.72,40.18",2.0,0.0
"116.42,39.73",6.0,0.0
"116.64,40.05",1.0,0.0
"117.16,40.69",5.0,0.0
"115.91,39.66",1.0,0.0
"116.35,39.61",0.0,0.0
"115.92,40.39",0.0,0.0
"116.05,39.60",2.0,0.0
"116.39,39.71",7.0,0.0
"115.84,39.56",0.0,0.0
"116.78,39.78",2.0,0.0
"116.72,39.82",2.0,0.0
"116.05,40.45",0.0,0.0
"116.67,40.28",2.0,0.0
"116.50,40.25",1.0,0.0
"116.44,39.67",2.0,0.0
"116.19,40.23",2.0,0.0
"116.27,40.21",4.0,0.0
"115.93,40.33",0.0,0.0
"116.64,40.36",0.0,0.0
"116.36,40.22",5.0,0.0
"116.56,40.43",1.0,0.0
"116.05,39.62",2.0,0.0
"116.00,39.71",0.0,0.0
"116.27,39.56",1.0,0.0
"116.30,39.78",1.0,0.0
"115.98,40.37",0.0,0.0
"116.50,39.70",2.0,0.0
"116.62,40.09",0.0,0.0
"116.02,39.90",2.0,0.0
"116.71,40.13",1.0,0.0
"117.06,40.11",0.0,0.0
"116.54,39.86",0.0,0.0
"116.19,39.87",1.0,0.0
"116.62,39.94",0.0,0.0
